jplgroup,Lines,url,rfl,rflhdr
2017_07_09_c02,ang20170709t012605,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t012605.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t012605_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t012605_rfl.hdr
2017_07_09_c03,ang20170709t013933,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t013933.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t013933_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t013933_rfl.hdr
2017_07_09_c04,ang20170709t191907,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t191907.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t191907_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t191907_rfl.hdr
2017_07_09_c04,ang20170709t192500,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t192500.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t192500_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t192500_rfl.hdr
2017_07_09_c04,ang20170709t193321,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t193321.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t193321_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t193321_rfl.hdr
2017_07_09_c04,ang20170709t201525,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t201525.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t201525_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t201525_rfl.hdr
2017_07_09_c04,ang20170709t202038,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t202038.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t202038_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t202038_rfl.hdr
2017_07_09_c04,ang20170709t203930,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t203930.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t203930_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t203930_rfl.hdr
2017_07_09_c04,ang20170709t224222,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t224222.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t224222_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t224222_rfl.hdr
2017_07_09_c04,ang20170709t224839,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t224839.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t224839_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t224839_rfl.hdr
2017_07_09_c04,ang20170709t225457,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t225457.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t225457_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t225457_rfl.hdr
2017_07_09_c04,ang20170709t230326,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t230326.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t230326_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t230326_rfl.hdr
2017_07_09_c04,ang20170709t231121,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t231121.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t231121_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t231121_rfl.hdr
2017_07_09_c04,ang20170709t231636,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t231636.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t231636_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t231636_rfl.hdr
2017_07_09_c04,ang20170709t232308,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t232308.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t232308_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t232308_rfl.hdr
2017_07_09_c04,ang20170709t233000,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t233000.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t233000_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t233000_rfl.hdr
2017_07_09_c04,ang20170709t233755,https://avng.jpl.nasa.gov/avng/y17_data/ang20170709t233755.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t233755_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170709t233755_rfl.hdr
